cluster,blend_70_30,ledoit_wolf
EDA/Semis,0.0311506589262289,0.0331726381141656
Enterprise SW,0.0309458318895676,0.0328023868769038
Index/Ratings,0.0224612738570596,0.023847457743973
Info Services,0.0069491868097049,0.0075224799168798
Intl/Other,0.009896166601652299,0.011148735384885299
Market Infra,0.0159771465908227,0.0178673747011049
MedTech/Bio,0.0225228653287618,0.0236228467938971
Other,0.0058059915827575,0.0063310693602025
Payments,0.028418888960126298,0.0295073751728751
